colsample_bytree,learning_rate,max_depth,n_estimators,objective,subsample,imputer_name,avg_f1
1.0,0.05,,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6663004947793112
1.0,0.05,,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6680122882121354
1.0,0.05,,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6857912369465959
1.0,0.05,,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6618039375462617
1.0,0.05,3.0,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6759233318185934
1.0,0.05,3.0,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.7012065778093627
1.0,0.05,3.0,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.7074838185631553
1.0,0.05,3.0,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6985817190872006
1.0,0.05,5.0,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6762528480792377
1.0,0.05,5.0,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6838939720355235
1.0,0.05,5.0,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6799031753727484
1.0,0.05,5.0,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6750485415042363
1.0,0.05,7.0,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6665434084546867
1.0,0.05,7.0,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6713046866599286
1.0,0.05,7.0,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.662893609876556
1.0,0.05,7.0,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6715645826744444
1.0,0.1,,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6639997416530518
1.0,0.1,,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6664866406087394
1.0,0.1,,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6631905224813789
1.0,0.1,,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6720535762998158
1.0,0.1,3.0,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6820384685892121
1.0,0.1,3.0,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6911469287647926
1.0,0.1,3.0,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6996869083465704
1.0,0.1,3.0,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6822098811617899
1.0,0.1,5.0,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6760668989097318
1.0,0.1,5.0,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6750088088577787
1.0,0.1,5.0,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6938830402816272
1.0,0.1,5.0,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6944532500723049
1.0,0.1,7.0,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6563634184402869
1.0,0.1,7.0,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6690423600196471
1.0,0.1,7.0,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6804177575895936
1.0,0.1,7.0,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6829331236140522
1.0,0.2,,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6786763028552192
1.0,0.2,,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6604567515881182
1.0,0.2,,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6499961232357914
1.0,0.2,,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6665554007867223
1.0,0.2,3.0,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6989958088927685
1.0,0.2,3.0,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6795374011622817
1.0,0.2,3.0,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6792107234836418
1.0,0.2,3.0,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6762709121101054
1.0,0.2,5.0,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.679107566142577
1.0,0.2,5.0,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6785818666535484
1.0,0.2,5.0,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6731319770923405
1.0,0.2,5.0,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6775081824384431
1.0,0.2,7.0,20,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6857748445058147
1.0,0.2,7.0,50,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6845512901345868
1.0,0.2,7.0,100,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6542360879997814
1.0,0.2,7.0,200,reg:squarederror,1.0,IterativeImputer_XGBoost,0.6542360879997814
