bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,imputer_name,avg_f1_score
True,,sqrt,1,2,20,IterativeImputer_RandomForest,0.7562627815185512
True,,sqrt,1,2,50,IterativeImputer_RandomForest,0.7496337953023938
True,,sqrt,1,2,100,IterativeImputer_RandomForest,0.773378392099955
True,,sqrt,1,5,20,IterativeImputer_RandomForest,0.7600867954251713
True,,sqrt,1,5,50,IterativeImputer_RandomForest,0.7754798078128708
True,,sqrt,1,5,100,IterativeImputer_RandomForest,0.7750367060225151
True,,sqrt,2,2,20,IterativeImputer_RandomForest,0.768137334097356
True,,sqrt,2,2,50,IterativeImputer_RandomForest,0.7694533993162292
True,,sqrt,2,2,100,IterativeImputer_RandomForest,0.7693501824562523
True,,sqrt,2,5,20,IterativeImputer_RandomForest,0.7523100024087278
True,,sqrt,2,5,50,IterativeImputer_RandomForest,0.7788036000274952
True,,sqrt,2,5,100,IterativeImputer_RandomForest,0.7692526224362075
